Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
ES5_164_Control-protein_14_1	3.4	42390293	12313286	42390293	2119514650	1587374	2099668953	0.9363321456636311
ES5_164_Control-protein_14_2	3.4	42390293	13900913	42390293	2119514650	21485949	2078173301	1.9505101792997752
ES60_Blue-032_MG-protein_21_1	3.4	42841580	12635315	42841580	2142079000	1800067	2122689930	0.905151957514172
ES60_Blue-032_MG-protein_21_2	3.4	42841580	14338770	42841580	2142079000	25436183	2096212154	2.141230365453375
ES61_Blue-035_MG-protein_0_1	3.4	39132317	11475886	39132317	1956615850	1411232	1938752300	0.912981973441542
ES61_Blue-035_MG-protein_0_2	3.4	39132317	12936456	39132317	1956615850	17621738	1920461044	1.8478234243068203
ES62_Blue-035_MG-protein_14_1	3.4	44900450	13070623	44900450	2245022500	1770054	2224778652	0.9017213858658433
ES62_Blue-035_MG-protein_14_2	3.4	44900450	14860583	44900450	2245022500	25994344	2197842751	2.1015267775712716
ES63_Blue-035_MG-protein_21_1	3.4	41264470	11938290	41264470	2063223500	1549510	2044927221	0.8867812430403201
ES63_Blue-035_MG-protein_21_2	3.4	41264470	13628313	41264470	2063223500	20186411	2023568436	1.9219955569525067
ES64_SEM19-1481_MG-lipid_21_1	3.4	46678182	13496136	46678182	2333909100	1929317	2312887728	0.9006936902555459
ES64_SEM19-1481_MG-lipid_21_2	3.4	46678182	15413790	46678182	2333909100	23536227	2288292806	1.9545017413060344
ES65_106_NA_0_1	3.4	45915339	13027378	45915339	2295766950	2065481	2275055157	0.9021731495873307
ES65_106_NA_0_2	3.4	45915339	15066584	45915339	2295766950	27874674	2246389202	2.1508170940434526
ES66_617_Control-protein_14_1	3.4	43389251	12501049	43389251	2169462550	2034374	2150031757	0.8956500770202279
ES66_617_Control-protein_14_2	3.4	43389251	14567149	43389251	2169462550	28918907	2119790479	2.2896026022666307
ES67_Blue-037_MG-protein_0_1	3.4	43114045	12849086	43114045	2155702250	2038481	2135529457	0.9357875374486435
ES67_Blue-037_MG-protein_0_2	3.4	43114045	14183133	43114045	2155702250	27821717	2107721332	2.22576740363842
ES68_Blue-037_MG-protein_14_1	3.4	38873266	11437894	38873266	1943663300	1651059	1925708090	0.9237819122272876
ES68_Blue-037_MG-protein_14_2	3.4	38873266	12837571	38873266	1943663300	24884000	1900473788	2.2220675772393292
ES69_Blue-037_MG-protein_21_1	3.4	41538314	12348832	41538314	2076915700	1874867	2057815851	0.9196256256332407
ES69_Blue-037_MG-protein_21_2	3.4	41538314	13766217	41538314	2076915700	21951830	2035333834	2.002096955596224
ES6_164_Control-protein_21_1	3.4	41554569	12279359	41554569	2077728450	1585389	2058762198	0.9128359386906407
ES6_164_Control-protein_21_2	3.4	41554569	13647256	41554569	2077728450	20575779	2037615382	1.9306212994291916
ES70_Blue-039_Control-lipid_0_1	3.4	55078029	15716686	55078029	2753901450	2546352	2729043966	0.9026279426230013
ES70_Blue-039_Control-lipid_0_2	3.4	55078029	18279051	55078029	2753901450	25263316	2702386142	1.8706300474187267
ES71_Blue-039_Control-lipid_14_1	3.4	39092259	11432562	39092259	1954612950	1712771	1936946257	0.9038461041609287
ES71_Blue-039_Control-lipid_14_2	3.4	39092259	13070663	39092259	1954612950	19165278	1916760068	1.9365922035869045
ES72_Blue-039_Control-lipid_21_1	3.4	43565736	12603570	43565736	2178286800	2327460	2157874627	0.9370746313111754
ES72_Blue-039_Control-lipid_21_2	3.4	43565736	14534163	43565736	2178286800	28288213	2129299247	2.248902807472368
